,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,wagar,77,US,1578412142,63,31.44,-87.99,57.0,1.01
1,punta arenas,100,CL,1578412142,62,-53.16,-70.91,57.2,6.93
2,severo-kurilsk,98,RU,1578412142,88,50.68,156.12,20.79,11.7
3,thinadhoo,37,MV,1578412142,75,0.53,72.93,84.09,17.6
4,pundaguitan,100,PH,1578412142,75,6.37,126.17,79.72,1.36
5,toora-khem,0,RU,1578412142,90,52.47,96.11,-6.18,0.72
6,hobyo,99,SO,1578412143,70,5.35,48.53,80.89,17.2
7,turbat,0,PK,1578412143,31,26.0,63.05,66.6,20.74
8,san borja,34,BO,1578412143,57,-14.86,-66.75,86.68,9.42
9,hermanus,22,ZA,1578412143,90,-34.42,19.24,69.13,16.69
10,dakar,100,SN,1578412077,40,14.69,-17.45,80.6,13.87
11,asahi,75,JP,1578412143,100,35.74,140.65,42.01,11.41
12,ushuaia,75,AR,1578411904,58,-54.81,-68.31,59.0,8.05
13,albany,75,US,1578412144,51,42.65,-73.75,37.99,4.7
14,aksu,90,KZ,1578412144,92,52.04,76.93,5.0,3.76
15,qaanaaq,9,GL,1578412144,75,77.48,-69.36,-21.35,4.29
16,samarai,87,PG,1578412144,91,-10.62,150.67,76.75,2.04
17,vrangel,100,RU,1578412145,89,42.73,133.08,31.93,30.98
18,mapiripan,0,CO,1578412145,47,2.89,-72.13,87.24,10.69
19,miri,6,NG,1578412145,17,10.31,9.75,88.86,9.53
20,port alfred,100,ZA,1578412145,94,-33.59,26.89,69.01,1.99
21,honiara,75,SB,1578412145,94,-9.43,159.96,75.2,2.24
22,gorontalo,100,ID,1578412145,91,0.54,123.06,74.73,6.96
23,gebre guracha,100,ET,1578412145,23,9.8,38.4,76.95,3.27
24,chuy,0,UY,1578412146,34,-33.69,-53.46,79.41,9.93
25,acapulco,40,MX,1578412146,74,16.86,-99.88,78.8,5.82
26,abu dhabi,0,AE,1578411894,60,24.47,54.37,69.8,5.82
27,iqaluit,20,CA,1578412146,59,63.75,-68.52,-32.01,2.24
28,rikitea,0,PF,1578412146,82,-23.12,-134.97,76.41,17.34
